CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Merced_01.01.1984-12.31.1986
362686N1209946W001,,11/28/1984,00:00,,,9.000,0.000,9.000,94.210,93.210,85.210,8.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
362686N1209946W001,,4/17/1985,00:00,,,11.000,0.000,11.000,94.210,93.210,83.210,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
362686N1209946W001,,3/28/1986,00:00,,,8.500,0.000,8.500,94.210,93.210,85.710,7.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
362686N1209946W001,,10/21/1986,00:00,,,9.400,0.000,9.400,94.210,93.210,84.810,8.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
368799N1207888W001,,1/10/1984,00:00,,,81.000,0.000,81.000,348.630,347.830,267.630,80.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Merced_01.01.1984-12.31.1986
369299N1206860W001,,11/27/1984,00:00,,,14.800,0.000,14.800,139.900,138.400,125.100,13.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369299N1206860W001,,4/16/1985,00:00,,,15.000,0.000,15.000,139.900,138.400,124.900,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369299N1206860W001,,10/23/1985,00:00,,,14.200,0.000,14.200,139.900,138.400,125.700,12.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369299N1206860W001,,3/26/1986,00:00,,,13.500,0.000,13.500,139.900,138.400,126.400,12.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369299N1206860W001,,10/20/1986,00:00,,,13.700,0.000,13.700,139.900,138.400,126.200,12.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369549N1208371W001,,11/27/1984,00:00,,,33.000,0.000,33.000,193.760,193.160,160.760,32.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369549N1208371W001,,4/16/1985,00:00,,,34.500,0.000,34.500,193.760,193.160,159.260,33.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369549N1208371W001,,10/23/1985,00:00,,,34.000,0.000,34.000,193.760,193.160,159.760,33.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369549N1208371W001,,3/26/1986,00:00,,,32.000,0.000,32.000,193.760,193.160,161.760,31.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369549N1208371W001,,10/20/1986,00:00,,,33.000,0.000,33.000,193.760,193.160,160.760,32.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369566N1208643W001,,11/27/1984,00:00,,9 - Acoustical sounder,100.000,0.000,100.000,251.650,249.650,151.650,98.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369566N1208643W001,,4/16/1985,00:00,,9 - Acoustical sounder,99.000,0.000,99.000,251.650,249.650,152.650,97.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369566N1208643W001,,10/23/1985,00:00,,9 - Acoustical sounder,99.000,0.000,99.000,251.650,249.650,152.650,97.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369566N1208643W001,,3/26/1986,00:00,,9 - Acoustical sounder,100.000,0.000,100.000,251.650,249.650,151.650,98.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369566N1208643W001,,10/20/1986,00:00,,9 - Acoustical sounder,98.000,0.000,98.000,251.650,249.650,153.650,96.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369666N1208104W001,,11/27/1984,00:00,,,11.000,0.000,11.000,141.620,140.620,130.620,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369666N1208104W001,,4/16/1985,00:00,,,9.000,0.000,9.000,141.620,140.620,132.620,8.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369666N1208104W001,,10/23/1985,00:00,,,8.000,0.000,8.000,141.620,140.620,133.620,7.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369666N1208104W001,,3/26/1986,00:00,,,10.000,0.000,10.000,141.620,140.620,131.620,9.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369666N1208104W001,,10/20/1986,00:00,,,11.500,0.000,11.500,141.620,140.620,130.120,10.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369677N1207282W001,,4/16/1985,00:00,9 - Temporarily inaccessible,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369677N1207282W001,,3/26/1986,00:00,9 - Temporarily inaccessible,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369677N1207282W001,,10/20/1986,00:00,9 - Temporarily inaccessible,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369677N1207282W002,,4/16/1985,00:00,9 - Temporarily inaccessible,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369677N1207282W002,,3/26/1986,00:00,9 - Temporarily inaccessible,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369677N1207282W002,,10/20/1986,00:00,9 - Temporarily inaccessible,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369696N1208527W001,,11/27/1984,00:00,,9 - Acoustical sounder,59.100,0.000,59.100,215.610,215.610,156.510,59.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369696N1208527W001,,4/16/1985,00:00,,9 - Acoustical sounder,60.100,0.000,60.100,215.610,215.610,155.510,60.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369696N1208527W001,,10/23/1985,00:00,,9 - Acoustical sounder,60.100,0.000,60.100,215.610,215.610,155.510,60.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369696N1208527W001,,3/26/1986,00:00,,9 - Acoustical sounder,60.000,0.000,60.000,215.610,215.610,155.610,60.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369696N1208527W001,,10/20/1986,00:00,,9 - Acoustical sounder,59.000,0.000,59.000,215.610,215.610,156.610,59.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369757N1206685W001,,11/27/1984,00:00,,,6.000,0.000,6.000,114.330,113.330,108.330,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369757N1206685W001,,4/16/1985,00:00,,,6.000,0.000,6.000,114.330,113.330,108.330,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369757N1206685W001,,10/23/1985,00:00,,,5.900,0.000,5.900,114.330,113.330,108.430,4.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369757N1206685W001,,3/26/1986,00:00,,,6.000,0.000,6.000,114.330,113.330,108.330,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369757N1206685W001,,10/20/1986,00:00,,,6.000,0.000,6.000,114.330,113.330,108.330,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369827N1206813W001,,11/27/1984,00:00,,,3.300,0.000,3.300,113.730,113.330,110.430,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369827N1206813W001,,4/16/1985,00:00,,,3.400,0.000,3.400,113.730,113.330,110.330,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369827N1206813W001,,10/23/1985,00:00,,,4.000,0.000,4.000,113.730,113.330,109.730,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369827N1206813W001,,3/26/1986,00:00,,,2.000,0.000,2.000,113.730,113.330,111.730,1.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369827N1206813W001,,10/20/1986,00:00,,,3.800,0.000,3.800,113.730,113.330,109.930,3.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369907N1207066W001,,11/27/1984,00:00,,,1.000,0.000,1.000,111.330,110.930,110.330,0.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369907N1207066W001,,4/16/1985,00:00,,,1.000,0.000,1.000,111.330,110.930,110.330,0.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369907N1207066W001,,10/23/1985,00:00,,,1.000,0.000,1.000,111.330,110.930,110.330,0.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369907N1207066W001,,3/26/1986,00:00,,,15.000,0.000,15.000,111.330,110.930,96.330,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369907N1207066W001,,10/20/1986,00:00,,,1.500,0.000,1.500,111.330,110.930,109.830,1.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369930N1208149W001,,11/27/1984,00:00,,,7.400,0.000,7.400,128.600,127.400,121.200,6.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369930N1208149W001,,4/16/1985,00:00,,,5.800,0.000,5.800,128.600,127.400,122.800,4.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369930N1208149W001,,10/23/1985,00:00,,,5.600,0.000,5.600,128.600,127.400,123.000,4.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369930N1208149W001,,3/26/1986,00:00,,,4.400,0.000,4.400,128.600,127.400,124.200,3.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369930N1208149W001,,10/20/1986,00:00,,,6.200,0.000,6.200,128.600,127.400,122.400,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
369952N1206554W001,,11/27/1984,00:00,,,6.000,0.000,6.000,115.310,114.310,109.310,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1984-12.31.1986
