CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,4/21/1995,00:00,,2 - Nearby pump operating,315.520,0.000,315.520,"2,602.800","2,602.800","2,287.280",315.520,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,10/27/1995,00:00,,2 - Nearby pump operating,314.700,0.000,314.700,"2,602.800","2,602.800","2,288.100",314.700,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,4/26/1996,00:00,,2 - Nearby pump operating,311.630,0.000,311.630,"2,602.800","2,602.800","2,291.170",311.630,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,10/10/1996,00:00,,2 - Nearby pump operating,309.820,0.000,309.820,"2,602.800","2,602.800","2,292.980",309.820,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,4/16/1997,00:00,,2 - Nearby pump operating,307.920,0.000,307.920,"2,602.800","2,602.800","2,294.880",307.920,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,10/28/1997,00:00,,2 - Nearby pump operating,306.690,0.000,306.690,"2,602.800","2,602.800","2,296.110",306.690,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,4/17/1998,00:00,,,306.450,0.000,306.450,"2,602.800","2,602.800","2,296.350",306.450,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,6/2/1998,00:00,,,306.240,0.000,306.240,"2,602.800","2,602.800","2,296.560",306.240,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340233N1170378W001,,10/21/1998,00:00,,,306.120,0.000,306.120,"2,602.800","2,602.800","2,296.680",306.120,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,2/21/1995,00:00,,,254.000,0.000,254.000,856.000,856.000,602.000,254.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,3/30/1995,00:00,,,252.000,0.000,252.000,856.000,856.000,604.000,252.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,5/30/1995,00:00,,,255.000,0.000,255.000,856.000,856.000,601.000,255.000,UNK - Unknown,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,7/20/1995,00:00,,,258.000,0.000,258.000,856.000,856.000,598.000,258.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,8/28/1995,00:00,,,260.000,0.000,260.000,856.000,856.000,596.000,260.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,9/25/1995,00:00,,,257.000,0.000,257.000,856.000,856.000,599.000,257.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,10/25/1995,00:00,,,258.500,0.000,258.500,856.000,856.000,597.500,258.500,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
340389N1176821W001,WEI1002741,1/1/1996,00:00,,,252.000,0.000,252.000,856.000,856.000,604.000,252.000,UNK - Unknown,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1995-12.31.1998
