CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,LosAngeles_04.21.2013-06.21.2013
340061N1179335W001,Tony Poli Well,5/1/2013,00:00,,,29.000,0.000,29.000,371.000,370.000,342.000,28.000,ES - Electric sounder measurement,0.1 Ft,Puente Basin Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340586N1177624W001,Well 28,5/13/2013,00:00,,,98.500,0.000,98.500,739.000,738.500,640.500,98.000,ES - Electric sounder measurement,1 Ft,Puente Basin Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340586N1177876W001,Well 19,5/13/2013,00:00,,,122.000,0.000,122.000,793.000,792.500,671.000,121.500,ES - Electric sounder measurement,Unknown,Puente Basin Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340614N1177864W001,Well 31,5/13/2013,00:00,,,125.900,0.000,125.900,796.000,795.500,670.100,125.400,ES - Electric sounder measurement,Unknown,Puente Basin Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/21/2013,12:15,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/21/2013,12:30,,,57.300,0.000,57.300,990.770,989.920,933.470,56.450,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/21/2013,12:45,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/21/2013,13:45,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/21/2013,14:00,,,57.600,0.000,57.600,990.770,989.920,933.170,56.750,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/21/2013,14:15,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,10:00,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,10:15,,,57.300,0.000,57.300,990.770,989.920,933.470,56.450,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,10:30,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,15:15,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,15:30,,,58.800,0.000,58.800,990.770,989.920,931.970,57.950,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,15:45,,,56.200,0.000,56.200,990.770,989.920,934.570,55.350,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/22/2013,16:00,,,56.100,0.000,56.100,990.770,989.920,934.670,55.250,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,08:00,,,54.900,0.000,54.900,990.770,989.920,935.870,54.050,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,09:45,,,54.900,0.000,54.900,990.770,989.920,935.870,54.050,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,10:00,,,56.400,0.000,56.400,990.770,989.920,934.370,55.550,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,10:15,,,54.900,0.000,54.900,990.770,989.920,935.870,54.050,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,12:15,,,54.900,0.000,54.900,990.770,989.920,935.870,54.050,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,12:30,,,56.100,0.000,56.100,990.770,989.920,934.670,55.250,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
340816N1177450W001,6BWM-12,4/23/2013,12:45,,,54.900,0.000,54.900,990.770,989.920,935.870,54.050,TR - Electronic pressure transducer,0.01 Ft,Six Basins Watermaster,CASGEM,,LosAngeles_04.21.2013-06.21.2013
