CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Madera_06.21.2003-06.21.2013
367702N1202910W001,,1/30/2004,00:00,,,53.500,0.000,53.500,173.420,172.420,119.920,52.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,9/23/2003,00:00,4 - Can't get tape in casing,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,2/11/2005,00:00,,,69.800,0.000,69.800,173.420,172.420,103.620,68.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,2/8/2006,00:00,,,45.200,0.000,45.200,173.420,172.420,128.220,44.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,2/6/2007,00:00,,,40.800,0.000,40.800,173.420,172.420,132.620,39.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,2/22/2008,00:00,,,41.300,0.000,41.300,173.420,172.420,132.120,40.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,10/16/2007,00:00,4 - Can't get tape in casing,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,10/4/2006,00:00,4 - Can't get tape in casing,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367702N1202910W001,,2/10/2009,00:00,4 - Can't get tape in casing,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367705N1203029W001,,1/30/2004,00:00,,,56.000,0.000,56.000,174.410,172.410,118.410,54.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367705N1203029W001,,9/23/2003,00:00,4 - Can't get tape in casing,,,,,174.410,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367705N1203029W001,,2/11/2005,00:00,,8 - Oil or foreign substance in casing,55.600,0.000,55.600,174.410,172.410,118.810,53.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367705N1203029W001,,2/8/2006,00:00,9 - Temporarily inaccessible,,,,,174.410,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
367705N1203029W001,,2/6/2007,00:00,,,42.000,0.000,42.000,174.410,172.410,132.410,40.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.2003-06.21.2013
