CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Merced_01.01.1993-12.31.1994
362686N1209946W001,,4/13/1993,00:00,,,8.700,0.000,8.700,94.210,93.210,85.510,7.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
362686N1209946W001,,11/3/1993,00:00,,,10.100,0.000,10.100,94.210,93.210,84.110,9.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
362686N1209946W001,,3/1/1994,00:00,,,9.400,0.000,9.400,94.210,93.210,84.810,8.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
362686N1209946W001,,11/16/1994,00:00,,,12.100,0.000,12.100,94.210,93.210,82.110,11.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,1/25/1993,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,4/22/1993,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,7/26/1993,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,10/21/1993,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,1/19/1994,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,4/15/1994,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368682N1207821W001,,10/20/1994,00:00,,,46.830,0.000,46.830,334.640,333.510,287.810,45.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,1/25/1993,00:00,,,35.640,0.000,35.640,339.580,338.740,303.940,34.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,4/22/1993,00:00,,,36.640,0.000,36.640,339.580,338.740,302.940,35.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,7/26/1993,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,10/21/1993,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,1/19/1994,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,4/15/1994,00:00,,,36.740,0.000,36.740,339.580,338.740,302.840,35.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368918N1207943W001,,10/20/1994,00:00,7 - Special/Other,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,1/25/1993,00:00,,,35.370,0.000,35.370,332.650,330.980,297.280,33.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,4/22/1993,00:00,,,35.670,0.000,35.670,332.650,330.980,296.980,34.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,7/26/1993,00:00,,,33.770,0.000,33.770,332.650,330.980,298.880,32.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,10/21/1993,00:00,,,33.470,0.000,33.470,332.650,330.980,299.180,31.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,1/19/1994,00:00,,,35.070,0.000,35.070,332.650,330.980,297.580,33.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,4/15/1994,00:00,,,33.970,0.000,33.970,332.650,330.980,298.680,32.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
368927N1207927W001,,10/20/1994,00:00,,,33.570,0.000,33.570,332.650,330.980,299.080,31.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,1/25/1993,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,4/22/1993,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,7/26/1993,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,10/21/1993,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,1/19/1994,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,4/15/1994,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369032N1208068W001,,10/20/1994,00:00,7 - Special/Other,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,1/25/1993,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,4/22/1993,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,7/26/1993,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,10/21/1993,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,1/19/1994,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,4/15/1994,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369038N1208068W001,,10/20/1994,00:00,7 - Special/Other,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369143N1208166W001,,1/25/1993,00:00,,,40.010,0.000,40.010,299.570,298.770,259.560,39.210,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369143N1208166W001,,4/22/1993,00:00,9 - Temporarily inaccessible,,,,,299.570,298.770,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369143N1208166W001,,7/26/1993,00:00,,,37.610,0.000,37.610,299.570,298.770,261.960,36.810,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
369143N1208166W001,,10/21/1993,00:00,,,34.410,0.000,34.410,299.570,298.770,265.160,33.610,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1993-12.31.1994
