CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Merced_01.01.1997-12.31.1999
362686N1209946W001,,3/5/1997,00:00,,,8.200,0.000,8.200,94.210,93.210,86.010,7.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
362686N1209946W001,,11/20/1997,00:00,4 - Can't get tape in casing,,,,,94.210,93.210,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369257N1207454W001,,4/2/1997,00:00,,9 - Acoustical sounder,107.600,0.000,107.600,147.130,145.530,39.530,106.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369257N1207454W001,,11/18/1997,00:00,,9 - Acoustical sounder,140.600,0.000,140.600,147.130,145.530,6.530,139.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369257N1207454W001,,3/26/1998,00:00,9 - Temporarily inaccessible,,,,,147.130,145.530,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369257N1207454W001,,11/23/1998,00:00,,9 - Acoustical sounder,61.600,0.000,61.600,147.130,145.530,85.530,60.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369257N1207454W001,,3/22/1999,00:00,,9 - Acoustical sounder,9.590,0.000,9.590,147.130,145.530,137.540,7.990,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369257N1207454W001,,11/16/1999,00:00,,9 - Acoustical sounder,67.600,0.000,67.600,147.130,145.530,79.530,66.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369299N1206860W001,,3/11/1997,00:00,,,15.900,0.000,15.900,139.900,138.400,124.000,14.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369299N1206860W001,,11/18/1997,00:00,,,24.800,0.000,24.800,139.900,138.400,115.100,23.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369299N1206860W001,,3/16/1998,00:00,,,15.400,0.000,15.400,139.900,138.400,124.500,13.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369299N1206860W001,,11/16/1998,00:00,,,17.400,0.000,17.400,139.900,138.400,122.500,15.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369299N1206860W001,,3/16/1999,00:00,,,13.300,0.000,13.300,139.900,138.400,126.600,11.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369299N1206860W001,,11/10/1999,00:00,,,18.500,0.000,18.500,139.900,138.400,121.400,17.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
369477N1206907W001,,3/11/1997,00:00,,,6.800,0.000,6.800,123.580,120.380,116.780,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1997-12.31.1999
