CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Fresno_01.01.2003-12.31.2007
359647N1200793W001,,4/21/2003,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359647N1200793W001,,4/5/2004,00:00,,9 - Acoustical sounder,269.000,0.000,269.000,668.110,668.110,399.110,269.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359647N1200793W001,,4/22/2005,00:00,,9 - Acoustical sounder,272.000,0.000,272.000,668.110,668.110,396.110,272.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359647N1200793W001,,4/19/2007,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359714N1201027W001,,4/21/2003,00:00,9 - Temporarily inaccessible,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359714N1201027W001,,4/5/2004,00:00,9 - Temporarily inaccessible,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359714N1201027W001,,4/22/2005,00:00,9 - Temporarily inaccessible,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359714N1201027W001,,4/19/2007,00:00,,9 - Acoustical sounder,258.000,0.000,258.000,697.120,695.120,439.120,256.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359786N1201116W001,,4/21/2003,00:00,,9 - Acoustical sounder,259.000,0.000,259.000,725.130,723.130,466.130,257.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
359786N1201116W001,,4/5/2004,00:00,,9 - Acoustical sounder,260.000,0.000,260.000,725.130,723.130,465.130,258.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.2003-12.31.2007
