CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,10/5/1983,00:00,,,17.200,0.000,17.200,118.260,117.260,101.060,16.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,3/7/1984,00:00,,,11.000,0.000,11.000,118.260,117.260,107.260,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,10/3/1984,00:00,,,18.200,0.000,18.200,118.260,117.260,100.060,17.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,3/6/1985,00:00,,,13.700,0.000,13.700,118.260,117.260,104.560,12.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,10/3/1985,00:00,,,18.200,0.000,18.200,118.260,117.260,100.060,17.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,3/6/1986,00:00,,,10.400,0.000,10.400,118.260,117.260,107.860,9.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,10/9/1986,00:00,,,17.000,0.000,17.000,118.260,117.260,101.260,16.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,3/24/1987,00:00,,,13.000,0.000,13.000,118.260,117.260,105.260,12.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,11/9/1987,00:00,,,19.200,0.000,19.200,118.260,117.260,99.060,18.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
393190N1215089W001,BMO 17N04E22B001M,3/18/1988,00:00,,,14.000,0.000,14.000,118.260,117.260,104.260,13.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_06.21.1983-12.31.1992
