CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,1/29/1996,00:00,,,61.130,0.000,61.130,50.450,50.450,-10.680,61.130,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,3/21/1996,00:00,,2 - Nearby pump operating,55.270,0.000,55.270,50.450,50.450,-4.820,55.270,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,4/19/1996,00:00,,,55.010,0.000,55.010,50.450,50.450,-4.560,55.010,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,5/28/1996,00:00,,,62.870,0.000,62.870,50.450,50.450,-12.420,62.870,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,6/28/1996,00:00,,,67.980,0.000,67.980,50.450,50.450,-17.530,67.980,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,7/15/1996,00:00,,,68.750,0.000,68.750,50.450,50.450,-18.300,68.750,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W002,,8/9/1996,00:00,,,70.840,0.000,70.840,50.450,50.450,-20.390,70.840,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,10/10/1995,00:00,,,69.740,0.000,69.740,50.450,50.450,-19.290,69.740,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,1/29/1996,00:00,,,57.670,0.000,57.670,50.450,50.450,-7.220,57.670,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,3/21/1996,00:00,,,53.740,0.000,53.740,50.450,50.450,-3.290,53.740,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,4/19/1996,00:00,,,54.620,0.000,54.620,50.450,50.450,-4.170,54.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,5/28/1996,00:00,,,60.990,0.000,60.990,50.450,50.450,-10.540,60.990,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,6/28/1996,00:00,,,66.320,0.000,66.320,50.450,50.450,-15.870,66.320,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,7/15/1996,00:00,,,68.790,0.000,68.790,50.450,50.450,-18.340,68.790,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W003,,8/9/1996,00:00,,,70.790,0.000,70.790,50.450,50.450,-20.340,70.790,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,10/10/1995,00:00,,,59.370,0.000,59.370,50.450,50.450,-8.920,59.370,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,1/29/1996,00:00,,,44.010,0.000,44.010,50.450,50.450,6.440,44.010,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,3/21/1996,00:00,,,43.480,0.000,43.480,50.450,50.450,6.970,43.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,4/19/1996,00:00,,,46.580,0.000,46.580,50.450,50.450,3.870,46.580,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,5/28/1996,00:00,,,53.040,0.000,53.040,50.450,50.450,-2.590,53.040,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,6/28/1996,00:00,,,56.620,0.000,56.620,50.450,50.450,-6.170,56.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,7/15/1996,00:00,,,60.870,0.000,60.870,50.450,50.450,-10.420,60.870,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W004,,8/9/1996,00:00,,,63.080,0.000,63.080,50.450,50.450,-12.630,63.080,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W005,,10/10/1995,00:00,,2 - Nearby pump operating,48.660,0.000,48.660,50.450,50.450,1.790,48.660,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W005,,1/29/1996,00:00,,,36.710,0.000,36.710,50.450,50.450,13.740,36.710,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338536N1181532W005,,3/21/1996,00:00,,,34.730,0.000,34.730,50.450,50.450,15.720,34.730,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
