CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Fresno_01.01.1988-12.31.1992
359647N1200793W001,,2/16/1988,00:00,,,250.000,0.000,250.000,668.110,668.110,418.110,250.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359647N1200793W001,,3/7/1990,00:00,,9 - Acoustical sounder,268.000,0.000,268.000,668.110,668.110,400.110,268.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359647N1200793W001,,1/15/1991,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359647N1200793W001,,3/19/1992,00:00,,9 - Acoustical sounder,272.000,0.000,272.000,668.110,668.110,396.110,272.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359714N1201027W001,,2/16/1988,00:00,,,245.000,0.000,245.000,697.120,695.120,452.120,243.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359714N1201027W001,,3/7/1990,00:00,,9 - Acoustical sounder,247.000,0.000,247.000,697.120,695.120,450.120,245.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359714N1201027W001,,1/15/1991,00:00,,,248.000,0.000,248.000,697.120,695.120,449.120,246.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359714N1201027W001,,3/19/1992,00:00,,9 - Acoustical sounder,246.000,0.000,246.000,697.120,695.120,451.120,244.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359786N1201116W001,,2/16/1988,00:00,,,263.000,0.000,263.000,725.130,723.130,462.130,261.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
359786N1201116W001,,3/7/1990,00:00,,9 - Acoustical sounder,261.000,0.000,261.000,725.130,723.130,464.130,259.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_01.01.1988-12.31.1992
