CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Madera_06.21.1983-12.31.1986
367702N1202910W001,,9/27/1983,00:00,,,5.800,0.000,5.800,173.420,172.420,167.620,4.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367702N1202910W001,,1/24/1984,00:00,,,29.400,0.000,29.400,173.420,172.420,144.020,28.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367702N1202910W001,,10/4/1984,00:00,,,45.400,0.000,45.400,173.420,172.420,128.020,44.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367702N1202910W001,,2/7/1985,00:00,,,57.800,0.000,57.800,173.420,172.420,115.620,56.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367702N1202910W001,,10/3/1985,00:00,1 - Pumping,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367702N1202910W001,,1/28/1986,00:00,,,47.200,0.000,47.200,173.420,172.420,126.220,46.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367702N1202910W001,,9/23/1986,00:00,1 - Pumping,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,9/27/1983,00:00,,,33.900,0.000,33.900,174.410,172.410,140.510,31.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,1/24/1984,00:00,,,47.700,0.000,47.700,174.410,172.410,126.710,45.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,10/5/1984,00:00,,,37.800,0.000,37.800,174.410,172.410,136.610,35.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,2/7/1985,00:00,,,63.900,0.000,63.900,174.410,172.410,110.510,61.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,10/3/1985,00:00,,,54.700,0.000,54.700,174.410,172.410,119.710,52.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,1/22/1986,00:00,,,34.900,0.000,34.900,174.410,172.410,139.510,32.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367705N1203029W001,,9/23/1986,00:00,1 - Pumping,,,,,174.410,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,9/27/1983,00:00,,,14.000,0.000,14.000,175.410,172.410,161.410,11.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,1/24/1984,00:00,,,59.000,0.000,59.000,175.410,172.410,116.410,56.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,10/4/1984,00:00,,,39.900,0.000,39.900,175.410,172.410,135.510,36.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,2/7/1985,00:00,,,57.600,0.000,57.600,175.410,172.410,117.810,54.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,10/3/1985,00:00,,,67.900,0.000,67.900,175.410,172.410,107.510,64.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,1/22/1986,00:00,,,47.800,0.000,47.800,175.410,172.410,127.610,44.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367730N1203049W001,,9/23/1986,00:00,1 - Pumping,,,,,175.410,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,9/27/1983,00:00,,,44.300,0.000,44.300,172.410,172.410,128.110,44.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,1/24/1984,00:00,,,30.000,0.000,30.000,172.410,172.410,142.410,30.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,10/4/1984,00:00,,,44.200,0.000,44.200,172.410,172.410,128.210,44.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,2/7/1985,00:00,,,44.000,0.000,44.000,172.410,172.410,128.410,44.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,10/3/1985,00:00,1 - Pumping,,,,,172.410,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,1/28/1986,00:00,,,34.800,0.000,34.800,172.410,172.410,137.610,34.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367738N1202877W001,,9/23/1986,00:00,,,71.600,0.000,71.600,172.410,172.410,100.810,71.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367755N1202654W001,,10/6/1983,00:00,,,59.800,0.000,59.800,178.420,177.420,118.620,58.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367755N1202654W001,,1/27/1984,00:00,,,38.800,0.000,38.800,178.420,177.420,139.620,37.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367755N1202654W001,,10/4/1984,00:00,,,73.500,0.000,73.500,178.420,177.420,104.920,72.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367755N1202654W001,,2/6/1985,00:00,,,37.500,0.000,37.500,178.420,177.420,140.920,36.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367755N1202654W001,,10/1/1985,00:00,,,59.600,0.000,59.600,178.420,177.420,118.820,58.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367755N1202654W001,,9/22/1986,00:00,9 - Temporarily inaccessible,,,,,178.420,177.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,9/28/1983,00:00,4 - Can't get tape in casing,,,,,183.420,182.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,1/25/1984,00:00,,,39.900,0.000,39.900,183.420,182.420,143.520,38.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,10/5/1984,00:00,,,50.600,0.000,50.600,183.420,182.420,132.820,49.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,2/6/1985,00:00,,,41.500,0.000,41.500,183.420,182.420,141.920,40.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,10/1/1985,00:00,1 - Pumping,,,,,183.420,182.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,1/30/1986,00:00,,,48.300,0.000,48.300,183.420,182.420,135.120,47.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202410W001,,9/22/1986,00:00,1 - Pumping,,,,,183.420,182.420,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,9/28/1983,00:00,,,54.700,0.000,54.700,173.910,172.410,119.210,53.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,1/25/1984,00:00,9 - Temporarily inaccessible,,,,,173.910,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,10/5/1984,00:00,9 - Temporarily inaccessible,,,,,173.910,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,2/6/1985,00:00,,,37.700,0.000,37.700,173.910,172.410,136.210,36.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,10/1/1985,00:00,,,59.100,0.000,59.100,173.910,172.410,114.810,57.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,2/3/1986,00:00,9 - Temporarily inaccessible,,,,,173.910,172.410,,,,,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367813N1202713W001,,9/22/1986,00:00,,,62.000,0.000,62.000,173.910,172.410,111.910,60.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367824N1202593W001,,9/27/1983,00:00,,,51.900,0.000,51.900,178.410,177.410,126.510,50.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367824N1202593W001,,1/25/1984,00:00,,,37.900,0.000,37.900,178.410,177.410,140.510,36.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
367824N1202593W001,,10/5/1984,00:00,,,58.500,0.000,58.500,178.410,177.410,119.910,57.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_06.21.1983-12.31.1986
