-86,167,151,102,255,-86.0
-69.1772,167,151,102,255,-69.177165
-52.3543,167,151,102,255,-52.354331
-35.5315,167,151,102,255,-35.531496
-18.7087,167,151,102,255,-18.708661
-1.88583,167,151,102,255,-1.885827
14.937,162,153,102,255,14.937008
31.7598,162,153,102,255,31.759843
48.5827,162,153,102,255,48.582677
65.4055,162,153,102,255,65.405512
82.2283,162,153,102,255,82.228346
99.0512,162,153,102,255,99.051181
115.874,162,153,102,255,115.874016
132.697,162,153,102,255,132.69685
149.52,162,153,102,255,149.519685
166.343,162,153,102,255,166.34252
183.165,162,153,102,255,183.165354
199.988,162,153,102,255,199.988189
216.811,162,153,102,255,216.811024
233.634,162,153,102,255,233.633858
250.457,162,153,102,255,250.456693
267.28,162,153,102,255,267.279528
284.102,162,153,102,255,284.102362
300.925,162,153,102,255,300.925197
317.748,162,153,102,255,317.748031
334.571,162,153,102,255,334.570866
351.394,156,155,103,255,351.393701
368.217,156,155,103,255,368.216535
385.039,156,155,103,255,385.03937
401.862,156,155,103,255,401.862205
418.685,156,155,103,255,418.685039
435.508,156,155,103,255,435.507874
452.331,156,155,103,255,452.330709
469.154,156,155,103,255,469.153543
485.976,156,155,103,255,485.976378
502.799,156,155,103,255,502.799213
519.622,156,155,103,255,519.622047
536.445,156,155,103,255,536.444882
553.268,156,155,103,255,553.267717
570.091,156,155,103,255,570.090551
586.913,156,155,103,255,586.913386
603.736,156,155,103,255,603.73622
620.559,156,155,103,255,620.559055
637.382,156,155,103,255,637.38189
654.205,156,155,103,255,654.204724
671.028,156,155,103,255,671.027559
687.85,151,157,103,255,687.850394
704.673,151,157,103,255,704.673228
721.496,151,157,103,255,721.496063
738.319,151,157,103,255,738.318898
755.142,151,157,103,255,755.141732
771.965,151,157,103,255,771.964567
788.787,151,157,103,255,788.787402
805.61,151,157,103,255,805.610236
822.433,151,157,103,255,822.433071
839.256,151,157,103,255,839.255906
856.079,151,157,103,255,856.07874
872.902,151,157,103,255,872.901575
889.724,151,157,103,255,889.724409
906.547,151,157,103,255,906.547244
923.37,151,157,103,255,923.370079
940.193,151,157,103,255,940.192913
957.016,151,157,103,255,957.015748
973.839,151,157,103,255,973.838583
990.661,151,157,103,255,990.661417
1007.48,151,157,103,255,1007.484252
1024.31,145,159,104,255,1024.307087
1041.13,145,159,104,255,1041.129921
1057.95,145,159,104,255,1057.952756
1074.78,145,159,104,255,1074.775591
1091.6,145,159,104,255,1091.598425
1108.42,145,159,104,255,1108.42126
1125.24,145,159,104,255,1125.244094
1142.07,145,159,104,255,1142.066929
1158.89,145,159,104,255,1158.889764
1175.71,145,159,104,255,1175.712598
1192.54,145,159,104,255,1192.535433
1209.36,145,159,104,255,1209.358268
1226.18,145,159,104,255,1226.181102
1243,145,159,104,255,1243.003937
1259.83,145,159,104,255,1259.826772
1276.65,145,159,104,255,1276.649606
1293.47,145,159,104,255,1293.472441
1310.3,145,159,104,255,1310.295276
1327.12,145,159,104,255,1327.11811
1343.94,145,159,104,255,1343.940945
1360.76,139,161,104,255,1360.76378
1377.59,139,161,104,255,1377.586614
1394.41,139,161,104,255,1394.409449
1411.23,139,161,104,255,1411.232283
1428.06,139,161,104,255,1428.055118
1444.88,139,161,104,255,1444.877953
1461.7,139,161,104,255,1461.700787
1478.52,139,161,104,255,1478.523622
1495.35,139,161,104,255,1495.346457
1512.17,139,161,104,255,1512.169291
1528.99,139,161,104,255,1528.992126
1545.81,139,161,104,255,1545.814961
1562.64,139,161,104,255,1562.637795
1579.46,139,161,104,255,1579.46063
1596.28,139,161,104,255,1596.283465
1613.11,139,161,104,255,1613.106299
1629.93,139,161,104,255,1629.929134
1646.75,139,161,104,255,1646.751969
1663.57,139,161,104,255,1663.574803
1680.4,139,161,104,255,1680.397638
1697.22,133,162,104,255,1697.220472
1714.04,133,162,104,255,1714.043307
1730.87,133,162,104,255,1730.866142
1747.69,133,162,104,255,1747.688976
1764.51,133,162,104,255,1764.511811
1781.33,133,162,104,255,1781.334646
1798.16,133,162,104,255,1798.15748
1814.98,133,162,104,255,1814.980315
1831.8,133,162,104,255,1831.80315
1848.63,133,162,104,255,1848.625984
1865.45,133,162,104,255,1865.448819
1882.27,133,162,104,255,1882.271654
1899.09,133,162,104,255,1899.094488
1915.92,133,162,104,255,1915.917323
1932.74,133,162,104,255,1932.740157
1949.56,133,162,104,255,1949.562992
1966.39,133,162,104,255,1966.385827
1983.21,133,162,104,255,1983.208661
2000.03,133,162,104,255,2000.031496
2016.85,133,162,104,255,2016.854331
2033.68,143,170,119,255,2033.677165
2050.5,143,170,119,255,2050.5
2067.32,143,170,119,255,2067.322835
2084.15,143,170,119,255,2084.145669
2100.97,143,170,119,255,2100.968504
2117.79,143,170,119,255,2117.791339
2134.61,143,170,119,255,2134.614173
2151.44,143,170,119,255,2151.437008
2168.26,143,170,119,255,2168.259843
2185.08,143,170,119,255,2185.082677
2201.91,143,170,119,255,2201.905512
2218.73,143,170,119,255,2218.728346
2235.55,143,170,119,255,2235.551181
2252.37,143,170,119,255,2252.374016
2269.2,143,170,119,255,2269.19685
2286.02,143,170,119,255,2286.019685
2302.84,143,170,119,255,2302.84252
2319.67,143,170,119,255,2319.665354
2336.49,143,170,119,255,2336.488189
2353.31,143,170,119,255,2353.311024
2370.13,153,179,135,255,2370.133858
2386.96,153,179,135,255,2386.956693
2403.78,153,179,135,255,2403.779528
2420.6,153,179,135,255,2420.602362
2437.43,153,179,135,255,2437.425197
2454.25,153,179,135,255,2454.248031
2471.07,153,179,135,255,2471.070866
